City,Country,Latitude,Temperature (C),Humidity,Cloud Cover (%),Wind Speed (km/h)
Buchanan,LR,5.88,23.0,94,75,4.39
Busselton,AU,-33.64,16.33,97,92,9.64
Kavieng,PG,-2.57,28.23,100,44,3.01
Chokurdakh,RU,70.62,5.43,88,0,3.71
Cidreira,BR,-30.17,13.48,89,0,6.24
Puerto Escondido,MX,15.86,27.0,74,20,5.1
Talnakh,RU,69.49,9.73,73,20,5.29
Rikitea,PF,-23.12,23.08,100,24,3.24
Hampton,US,42.74,21.45,94,75,2.6
Zhigalovo,RU,54.81,12.88,79,0,1.29
Bambous Virieux,MU,-20.34,22.0,64,75,2.71
Roald,NO,62.58,15.0,93,76,2.1
Nikolskoye,RU,59.7,13.0,93,20,2
Vao,EE,59.1,14.48,74,0,3.24
Port Elizabeth,US,39.31,28.61,88,1,3.74
Victoria,BN,5.28,25.49,88,75,1
Souillac,FR,45.6,19.45,72,0,2.6
Lebu,ET,8.96,9.53,86,68,1.94
Caravelas,BR,-17.73,23.28,100,92,10.34
Bredasdorp,ZA,-34.53,8.0,87,80,3.1
Qaanaaq,GL,77.48,3.48,90,80,0.99
Severo-Kurilsk,RU,50.68,12.58,94,56,1.59
Kapaa,US,22.08,29.65,69,75,8.2
Te Anau,NZ,-45.41,6.93,99,24,1.61
Ushuaia,AR,-54.81,0.0,100,20,3.6
Mataura,NZ,-46.19,9.43,100,68,2.04
Jamestown,AU,-33.21,10.33,87,88,7.11
Saucillo,MX,28.03,32.78,21,56,3.06
Yumen,CN,40.29,17.23,49,0,2.24
Danville,US,36.59,25.2,94,90,1.74
Bathsheba,BB,13.22,28.0,74,40,7.7
Puerto Ayora,EC,-0.74,26.0,57,20,7.7
Itoman,JP,26.12,29.0,83,75,3.6
Palu,ID,-0.9,21.48,75,0,0.76
Bethel,US,60.79,13.0,76,90,5.1
Hithadhoo,MV,-0.6,26.38,100,68,1.91
Castro,CL,-42.48,4.48,100,20,1.74
Katsuura,JP,33.93,24.0,73,75,1
Wharton,GB,53.2,14.69,67,90,2.1
Hobart,AU,-42.88,11.0,71,40,8.7
Tasiilaq,GL,65.61,4.0,86,8,4.31
Longyearbyen,NO,78.22,8.0,75,20,5.1
General Roca,AR,-39.03,12.0,37,20,3.1
Cam Ranh,VN,11.92,25.28,100,92,2.19
Buraydah,SA,26.33,32.0,25,0,2.6
Jumla,NP,29.28,3.38,90,32,1.36
Ribeira Grande,PT,38.52,22.83,100,12,3.99
Matagami,NG,9.67,19.83,99,76,1.24
Camacha,PT,33.08,22.0,73,75,7.2
Vostok,RU,46.45,17.98,70,56,1.29
Jalu,LY,29.03,32.13,31,0,4.81
Yellowknife,CA,62.45,18.0,55,75,3.6
Albany,US,42.65,24.36,78,75,2.6
Arraial do Cabo,BR,-22.97,17.68,100,48,1.46
Hermanus,ZA,-34.42,2.03,100,32,1.24
Punta Arenas,CL,-53.16,2.0,93,75,2.6
Bluff,AU,-23.58,17.53,30,0,2.16
Aberdeen,US,45.47,29.0,48,20,6.7
Marawi,PH,8,24.53,82,12,1.89
Sanmenxia,CN,34.77,27.73,79,0,1.51
New Norfolk,AU,-42.78,11.0,71,40,8.7
Anadyr,RU,64.73,16.0,77,75,7
Bereda,ES,43.27,18.0,82,92,1
Naze,NG,5.43,23.0,100,75,1.5
Broken Hill,AU,-31.97,11.68,59,0,6.06
Hilo,US,19.71,26.31,65,90,5.1
Khatanga,RU,71.98,10.68,91,0,1.91
Popondetta,PG,-8.77,22.48,86,56,1.04
Sangar,RU,63.92,17.33,85,0,1.26
Hortolandia,BR,-22.86,17.0,77,0,7.7
Tuatapere,NZ,-46.13,8.58,100,92,1.84
Ketchikan,US,55.34,21.86,41,40,5.7
Pevek,RU,69.7,2.48,100,80,5.31
Arang,IN,21.2,22.83,97,92,4.81
Araouane,ML,18.9,32.03,40,0,4.86
Coihaique,CL,-45.58,4.0,80,75,1.5
Kijang,KR,35.24,28.0,69,0,4.1
Bagratashen,GE,41.24,25.0,69,75,1
Georgetown,GY,6.8,26.0,88,20,4.1
Punta Alta,AR,-27.46,20.0,68,0,3.6
Lar,IR,27.66,23.38,40,0,0.79
Schattdorf,CH,46.86,21.47,49,64,2.6
Kruisfontein,ZA,-34,12.48,86,32,8.81
Sal Rei,CV,16.18,25.0,78,75,3.6
Port Alfred,ZA,-33.59,13.33,93,8,9.71
Cape Town,ZA,-33.93,6.0,93,20,1.5
Saint-Philippe,CA,45.36,26.24,69,20,3.6
Avarua,CK,-21.21,22.0,94,90,4.6
Hayrabolu,TR,41.21,23.0,94,0,5.7
Kodiak,US,39.95,29.0,66,20,2.1
Kirove,UA,47.83,19.83,75,12,2.84
Faya,SA,18.39,19.46,49,0,2.01
Butaritari,KI,3.07,28.43,100,8,3.24
Brae,GB,60.4,11.72,87,0,1
Nome,US,30.04,26.98,74,1,1.5
Atuona,PF,-9.8,24.83,100,44,6.41
Bull Savanna,JM,17.89,26.58,71,56,4.36
Guerrero Negro,MX,27.97,30.58,45,0,3.59
Yukamenskoye,RU,57.89,15.28,85,88,0.61
Chateauroux,FR,43.72,21.02,88,40,2.6
Dingle,PH,11,24.23,98,92,4.26
Upernavik,GL,72.79,5.73,86,92,2.71
Ponta do Sol,BR,-20.63,14.33,81,0,1.26
Geraldton,CA,49.72,20.0,56,20,4.6
